title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Candy Shop,0.0214,https://api.spotify.com/v1/audio-analysis/0h5m65o5KnMFB4Gq47mbKt,50 Cent,0.619,208144,0.578,0h5m65o5KnMFB4Gq47mbKt,3.37e-05,11,0.387,-8.002,1,0.474,123.719,5,https://api.spotify.com/v1/tracks/0h5m65o5KnMFB4Gq47mbKt,audio_features,spotify:track:0h5m65o5KnMFB4Gq47mbKt,0.731
Pony,0.00186,https://api.spotify.com/v1/audio-analysis/6mz1fBdKATx6qP4oP1I65G,Ginuwine,0.749,251733,0.605,6mz1fBdKATx6qP4oP1I65G,0.0381,8,0.115,-9.359,0,0.086,142.024,4,https://api.spotify.com/v1/tracks/6mz1fBdKATx6qP4oP1I65G,audio_features,spotify:track:6mz1fBdKATx6qP4oP1I65G,0.966
Angels,0.163,https://api.spotify.com/v1/audio-analysis/7CKbqqrs0AS1si1ZgaQdcj,Robbie Williams,0.431,265333,0.59,7CKbqqrs0AS1si1ZgaQdcj,1.11e-05,4,0.0981,-6.362,1,0.0284,150.193,4,https://api.spotify.com/v1/tracks/7CKbqqrs0AS1si1ZgaQdcj,audio_features,spotify:track:7CKbqqrs0AS1si1ZgaQdcj,0.257
Losing It,0.00182,https://api.spotify.com/v1/audio-analysis/6ho0GyrWZN3mhi9zVRW7xi,FISHER,0.76,248036,0.964,6ho0GyrWZN3mhi9zVRW7xi,0.7,2,0.0974,-5.844,1,0.0576,125.0,4,https://api.spotify.com/v1/tracks/6ho0GyrWZN3mhi9zVRW7xi,audio_features,spotify:track:6ho0GyrWZN3mhi9zVRW7xi,0.641
BOY BYE,0.512,https://api.spotify.com/v1/audio-analysis/6e7hIhOLH9zvb3zP5O5gt0,BROCKHAMPTON,0.869,142187,0.747,6e7hIhOLH9zvb3zP5O5gt0,0.0,9,0.124,-7.143,1,0.151,124.932,4,https://api.spotify.com/v1/tracks/6e7hIhOLH9zvb3zP5O5gt0,audio_features,spotify:track:6e7hIhOLH9zvb3zP5O5gt0,0.784
Casanova,0.0124,https://api.spotify.com/v1/audio-analysis/6erBz7zbZ20KvWapbjSfID,Ultimate Kaos,0.645,229880,0.798,6erBz7zbZ20KvWapbjSfID,1.1e-05,1,0.0223,-8.239,0,0.0906,97.747,4,https://api.spotify.com/v1/tracks/6erBz7zbZ20KvWapbjSfID,audio_features,spotify:track:6erBz7zbZ20KvWapbjSfID,0.649
Yada Yada,0.0689,https://api.spotify.com/v1/audio-analysis/13UTQPeYjMFgalnk6rQ8sM,Anderson .Paak,0.653,207687,0.55,13UTQPeYjMFgalnk6rQ8sM,1.94e-05,6,0.492,-8.065,0,0.0869,92.165,4,https://api.spotify.com/v1/tracks/13UTQPeYjMFgalnk6rQ8sM,audio_features,spotify:track:13UTQPeYjMFgalnk6rQ8sM,0.359
SUGAR,0.449,https://api.spotify.com/v1/audio-analysis/6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,0.453,204533,0.538,6U0FIYXCQ3TGrk4tFpLrEA,0.0,1,0.19,-8.212,1,0.0638,122.973,4,https://api.spotify.com/v1/tracks/6U0FIYXCQ3TGrk4tFpLrEA,audio_features,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,0.516
LOVE ME FOR LIFE,0.0319,https://api.spotify.com/v1/audio-analysis/41PCkAcfU1UiSKUDtt6tXQ,BROCKHAMPTON,0.839,215013,0.416,41PCkAcfU1UiSKUDtt6tXQ,0.0,5,0.166,-7.658,1,0.0876,125.969,4,https://api.spotify.com/v1/tracks/41PCkAcfU1UiSKUDtt6tXQ,audio_features,spotify:track:41PCkAcfU1UiSKUDtt6tXQ,0.567
Weight of Love,0.03,https://api.spotify.com/v1/audio-analysis/3xMQOd1C3TXsjQ3pmzOmkC,The Black Keys,0.282,410187,0.547,3xMQOd1C3TXsjQ3pmzOmkC,0.888,2,0.104,-8.621,1,0.0322,151.468,4,https://api.spotify.com/v1/tracks/3xMQOd1C3TXsjQ3pmzOmkC,audio_features,spotify:track:3xMQOd1C3TXsjQ3pmzOmkC,0.133
Turn Blue,0.258,https://api.spotify.com/v1/audio-analysis/1pwWrPxonLIE12WWu9NzgU,The Black Keys,0.647,222960,0.465,1pwWrPxonLIE12WWu9NzgU,0.149,6,0.111,-10.272,0,0.0245,94.035,4,https://api.spotify.com/v1/tracks/1pwWrPxonLIE12WWu9NzgU,audio_features,spotify:track:1pwWrPxonLIE12WWu9NzgU,0.243
Foreword (feat. Rex Orange County),0.118,https://api.spotify.com/v1/audio-analysis/33i3xxHB4YSYGYbtJrwwO8,"Tyler, The Creator",0.734,194080,0.671,33i3xxHB4YSYGYbtJrwwO8,0.00317,1,0.352,-7.107,1,0.0315,94.025,4,https://api.spotify.com/v1/tracks/33i3xxHB4YSYGYbtJrwwO8,audio_features,spotify:track:33i3xxHB4YSYGYbtJrwwO8,0.113
Boredom (feat. Rex Orange County & Anna of the North),0.79,https://api.spotify.com/v1/audio-analysis/5WNYg3usc6H8N3MBEp4zVk,"Tyler, The Creator",0.559,320720,0.578,5WNYg3usc6H8N3MBEp4zVk,0.000522,8,0.324,-9.54,1,0.151,79.938,4,https://api.spotify.com/v1/tracks/5WNYg3usc6H8N3MBEp4zVk,audio_features,spotify:track:5WNYg3usc6H8N3MBEp4zVk,0.239
See You Again (feat. Kali Uchis),0.371,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",0.558,180387,0.559,7KA4W4McWYRpgf0fWsJZWB,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.62
Famous,0.0711,https://api.spotify.com/v1/audio-analysis/19a3JfW8BQwqHWUMbcqSx8,Kanye West,0.465,196040,0.735,19a3JfW8BQwqHWUMbcqSx8,0.0,6,0.0975,-3.715,1,0.117,173.935,4,https://api.spotify.com/v1/tracks/19a3JfW8BQwqHWUMbcqSx8,audio_features,spotify:track:19a3JfW8BQwqHWUMbcqSx8,0.409
Breathe,0.00646,https://api.spotify.com/v1/audio-analysis/6TR0FGw4zhlGbQALN065AI,CamelPhat,0.595,194233,0.877,6TR0FGw4zhlGbQALN065AI,0.0879,9,0.398,-7.414,0,0.0442,125.015,4,https://api.spotify.com/v1/tracks/6TR0FGw4zhlGbQALN065AI,audio_features,spotify:track:6TR0FGw4zhlGbQALN065AI,0.081
Baila Conmigo (feat. Kelly Ruiz),0.00903,https://api.spotify.com/v1/audio-analysis/4Clmg1g8n2yBYG13Z1oSdG,Dayvi,0.745,189818,0.972,4Clmg1g8n2yBYG13Z1oSdG,0.465,7,0.297,-3.506,1,0.0774,128.031,4,https://api.spotify.com/v1/tracks/4Clmg1g8n2yBYG13Z1oSdG,audio_features,spotify:track:4Clmg1g8n2yBYG13Z1oSdG,0.556
Glorious (feat. Skylar Grey),0.0323,https://api.spotify.com/v1/audio-analysis/0CokSRCu5hZgPxcZBaEzVE,Macklemore,0.731,220454,0.794,0CokSRCu5hZgPxcZBaEzVE,2.59e-05,0,0.112,-5.126,0,0.0522,139.994,4,https://api.spotify.com/v1/tracks/0CokSRCu5hZgPxcZBaEzVE,audio_features,spotify:track:0CokSRCu5hZgPxcZBaEzVE,0.356
Gimme! Gimme! Gimme! (A Man After Midnight),0.02,https://api.spotify.com/v1/audio-analysis/3vkQ5DAB1qQMYO4Mr9zJN6,ABBA,0.749,292613,0.491,3vkQ5DAB1qQMYO4Mr9zJN6,0.00899,10,0.159,-9.655,1,0.0403,119.528,4,https://api.spotify.com/v1/tracks/3vkQ5DAB1qQMYO4Mr9zJN6,audio_features,spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,0.536
La Eternidad,0.153,https://api.spotify.com/v1/audio-analysis/45DeB8bqN0c45nXXF957QS,Los Tetas,0.667,324600,0.619,45DeB8bqN0c45nXXF957QS,0.000121,9,0.281,-9.221,0,0.117,90.871,4,https://api.spotify.com/v1/tracks/45DeB8bqN0c45nXXF957QS,audio_features,spotify:track:45DeB8bqN0c45nXXF957QS,0.747
La Esperanza,0.0211,https://api.spotify.com/v1/audio-analysis/6XGSfNAbSjcnTkdvBqhYyg,Claptone,0.619,193293,0.631,6XGSfNAbSjcnTkdvBqhYyg,5.67e-06,9,0.206,-7.014,0,0.028,121.0,4,https://api.spotify.com/v1/tracks/6XGSfNAbSjcnTkdvBqhYyg,audio_features,spotify:track:6XGSfNAbSjcnTkdvBqhYyg,0.443
